Timestamp,duration,left_sensor1,left_sensor2,left_sensor3,left_sensor4,left_sensor5,right_sensor1,right_sensor2,right_sensor3,right_sensor4,right_sensor5,left_stride_F,left_balance_x,left_balance_y,right_stride_F,right_balance_x,right_balance_y,body_COP_x,body_COP_y
16:03.6,4,1,86,29,299,575,596,526,263,0,7,38,-57,-536,461,-263,454,-444,-81
16:03.7,4,4,152,45,375,592,596,526,263,0,7,67,-107,-525,461,-263,454,-565,-70
16:03.7,4,4,152,45,375,592,406,413,78,0,8,67,-107,-525,299,-335,291,-727,-234
16:03.7,4,4,152,45,375,592,114,99,0,0,5,67,-107,-525,71,-99,66,-958,-459
16:03.7,4,7,210,35,434,602,114,99,0,0,5,84,-175,-518,71,-99,66,-1044,-452
16:03.8,4,10,258,33,480,603,114,99,0,0,5,100,-225,-502,71,-99,66,-1107,-436
16:03.8,4,10,258,33,480,603,0,7,0,0,5,100,-225,-502,2,-7,-2,-1176,-505
16:03.8,4,14,301,30,522,593,0,7,0,0,5,115,-271,-478,2,-7,-2,-1222,-480
16:03.8,4,14,301,30,522,593,0,4,0,0,4,115,-271,-478,1,-4,-2,-1224,-480
16:03.8,4,18,346,30,547,577,0,4,0,0,4,131,-316,-445,1,-4,-2,-1250,-448
16:03.9,4,18,346,30,547,577,0,5,0,0,3,131,-316,-445,1,-5,-1,-1250,-447
16:03.9,4,23,380,32,564,561,0,5,0,0,3,145,-348,-416,1,-5,-1,-1265,-417
16:03.9,4,23,380,32,564,561,0,0,0,0,3,145,-348,-416,0,0,-3,-1267,-419
16:03.9,4,26,406,51,575,548,0,0,0,0,3,161,-355,-387,0,0,-3,-1281,-390
16:03.9,4,26,406,51,575,548,2,0,0,0,3,161,-355,-387,0,0,-2,-1280,-389
16:04.0,4,31,427,72,586,527,2,0,0,0,3,176,-355,-350,0,0,-2,-1285,-352
16:04.0,4,31,427,72,586,527,5,0,0,0,3,176,-355,-350,1,0,-1,-1284,-351
16:04.0,4,36,447,97,596,497,5,0,0,0,3,193,-350,-303,1,0,-1,-1281,-305
16:04.0,4,36,447,97,596,497,7,0,0,0,0,193,-350,-303,2,0,2,-1284,-301
16:04.1,4,46,469,135,604,443,7,0,0,0,0,216,-334,-226,2,0,2,-1261,-224
16:04.1,4,46,469,135,604,443,10,0,0,0,2,216,-334,-226,3,0,1,-1258,-225
16:04.1,4,92,503,234,608,345,10,0,0,0,2,276,-269,-68,3,0,1,-1224,-67
16:04.1,4,92,503,234,608,345,9,0,0,0,4,276,-269,-68,3,0,-1,-1222,-69
16:04.2,4,202,527,374,608,198,9,0,0,0,4,367,-153,169,3,0,-1,-1166,168
16:04.2,4,202,527,374,608,198,8,0,0,0,2,367,-153,169,2,0,0,-1169,170
16:04.2,4,330,550,450,608,77,8,0,0,0,2,443,-100,366,2,0,0,-1123,367
16:04.2,4,330,550,450,608,77,7,0,0,0,2,443,-100,366,2,0,0,-1124,366
16:04.3,4,429,565,530,603,20,7,0,0,0,2,508,-35,488,2,0,0,-1126,488
16:04.3,4,429,565,530,603,20,0,0,0,0,0,508,-35,488,0,0,0,-1131,488
16:04.3,4,429,565,530,603,20,0,0,0,0,249,508,-35,488,0,0,-249,-882,239
16:04.3,4,525,574,574,572,0,0,0,0,0,249,557,0,557,0,0,-249,-880,308
16:04.4,4,566,571,585,382,0,0,0,0,0,249,574,14,574,0,0,-249,-707,325
16:04.4,4,566,571,585,382,0,0,0,28,0,450,574,14,574,9,28,-440,-496,133
16:04.4,4,566,571,585,382,0,1,0,88,248,485,574,14,574,29,88,-455,-193,118
16:04.4,4,576,511,552,204,0,1,0,88,248,485,546,41,546,29,88,-455,12,91
16:04.4,4,546,389,519,45,0,1,0,88,248,485,484,130,484,29,88,-455,233,29
16:04.5,4,546,389,519,45,0,7,8,180,348,536,484,130,484,65,172,-471,419,13
16:04.5,4,546,389,519,45,0,22,20,275,459,557,484,130,484,105,255,-451,591,33
16:04.5,4,313,277,471,29,0,22,20,275,459,557,353,194,353,105,255,-451,738,-97
16:04.5,4,143,133,213,12,0,22,20,275,459,557,163,80,163,105,255,-451,946,-288
16:04.6,5,143,133,213,12,0,54,23,391,532,566,163,80,163,156,368,-410,1079,-247
16:04.6,5,143,133,213,12,0,65,25,433,557,572,163,80,163,174,408,-397,1128,-234
16:04.6,5,17,36,0,12,0,65,25,433,557,572,17,-36,17,174,408,-397,1273,-380
16:04.6,5,21,5,0,2,0,65,25,433,557,572,8,-5,8,174,408,-397,1292,-389
16:04.6,5,21,5,0,2,0,52,36,452,564,568,8,-5,8,180,416,-388,1301,-379
16:04.7,5,21,5,0,2,0,18,112,454,558,569,8,-5,8,194,342,-374,1310,-365
16:04.7,5,17,7,0,3,0,18,112,454,558,569,8,-7,8,194,342,-374,1310,-366
16:04.7,5,21,7,0,1,0,18,112,454,558,569,9,-7,9,194,342,-374,1311,-365
16:04.7,5,21,7,0,1,0,14,192,454,553,569,9,-7,9,220,262,-349,1331,-339
16:04.8,5,21,7,0,1,0,58,280,462,552,560,9,-7,9,266,182,-293,1368,-284
16:04.8,5,36,8,0,1,0,58,280,462,552,560,14,-8,14,266,182,-293,1363,-278
16:04.8,5,53,11,0,4,0,58,280,462,552,560,21,-11,21,266,182,-293,1353,-272
16:04.8,5,53,11,0,4,0,158,353,473,554,529,21,-11,21,328,120,-201,1385,-179
16:04.8,5,53,11,0,4,0,252,405,505,561,475,21,-11,21,387,100,-87,1398,-66
16:04.9,5,80,13,0,4,0,252,405,505,561,475,31,-13,31,387,100,-87,1388,-56
16:04.9,5,80,13,0,4,0,344,451,534,564,393,31,-13,31,443,83,50,1365,81
16:04.9,5,93,12,0,5,0,344,451,534,564,393,35,-12,35,443,83,50,1360,85
16:04.9,5,93,12,0,5,0,430,507,559,563,245,35,-12,35,498,52,253,1266,288
16:04.9,5,92,13,0,11,0,430,507,559,563,245,35,-13,35,498,52,253,1260,288
16:05.0,5,92,13,0,11,0,520,557,578,555,80,35,-13,35,551,21,471,1140,506
16:05.0,5,36,16,2,18,0,520,557,578,555,80,18,-14,18,551,21,471,1150,489
16:05.0,5,36,16,2,18,0,574,587,591,482,40,18,-14,18,584,4,544,1070,562
16:05.0,5,0,10,0,22,264,574,587,591,482,40,3,-10,-260,584,4,544,816,283
16:05.1,5,0,10,0,22,264,598,590,594,173,5,3,-10,-260,594,4,589,482,328
16:05.1,5,0,36,21,62,528,598,590,594,173,5,19,-15,-509,594,4,589,163,80
16:05.1,5,1,71,161,224,570,598,590,594,173,5,77,90,-492,594,4,589,-99,96
16:05.1,5,1,71,161,224,570,597,519,521,0,4,77,90,-492,545,2,541,-322,49
16:05.2,5,1,71,161,224,570,515,448,371,0,8,77,90,-492,444,-77,436,-419,-55
16:05.2,5,106,168,360,292,584,515,448,371,0,8,211,192,-372,444,-77,436,-634,64
16:05.2,5,189,223,429,361,594,515,448,371,0,8,280,206,-313,444,-77,436,-782,123
16:05.2,5,189,223,429,361,594,265,299,177,0,9,280,206,-313,247,-122,238,-979,-75
16:05.3,5,189,223,429,361,594,38,57,12,0,6,280,206,-313,35,-45,29,-1193,-284
16:05.3,5,189,270,450,405,599,38,57,12,0,6,303,180,-296,35,-45,29,-1265,-266
16:05.3,5,145,278,471,411,601,38,57,12,0,6,298,193,-303,35,-45,29,-1268,-273
